jdir,cid,path,cap,binding,needs_pre,pre_existed,pre_captured,prev_digest,created,has_basis,LATE_CRITICAL_steel
r1/0289fdb/P6b-B0/a-1/events.json,c1,config.json,fs.write,STATIC,False,True,True,False,False,True,False
r1/0289fdb/P6b-B0/a-1/events.json,c2,config.json,fs.write,STATIC,False,True,True,False,False,True,False
r1/0289fdb/P6b-B0/b-1/events.json,c1,config.json,fs.write,STATIC,False,True,True,False,,True,False
r1/0289fdb/P6b-B0/b-1/events.json,c2,config.json,fs.write,STATIC,False,True,True,False,,True,False
r1/0289fdb/P6b-B0/ctrl-1/events.json,c1,config.json,fs.write,STATIC,False,True,True,False,False,True,False
r1/0289fdb/P6b-B0/ctrl-1/events.json,c2,config.json,fs.write,STATIC,False,True,True,False,False,True,False
r1/2d9c506/P6b-head/b-1/events.json,c1,config.json,fs.write,STATIC,False,True,True,False,,True,False
r1/2d9c506/P6b-head/b-1/events.json,c2,config.json,fs.write,STATIC,False,True,True,False,,True,False
r1/2d9c506/P6b-head/ctrl-1/events.json,c1,config.json,fs.write,STATIC,False,True,True,False,False,True,False
r1/2d9c506/P6b-head/ctrl-1/events.json,c2,config.json,fs.write,STATIC,False,True,True,False,False,True,False
r1/2d9c506/P6b-head/unrelated-1/events.json,c1,config.json,fs.write,STATIC,False,True,True,False,False,True,False
r1/2d9c506/P6b-head/unrelated-1/events.json,c2,config.json,fs.write,STATIC,False,True,True,False,False,True,False
r1/33e599e/M9-control-b/T1-create/events.json,c1,notes.txt,fs.write,STATIC,False,False,False,False,True,False,False
r1/33e599e/M9-control-b/T2-edit-key/events.json,c1,config.json,fs.patch,STATIC,False,True,True,True,False,True,False
r1/33e599e/M9-control-b/T2-edit-key/events.json,c2,config.json,fs.patch,STATIC,True,True,True,True,False,True,False
r1/33e599e/M9-control-b/T3-fix-typo/events.json,c1,docs/guide.md,fs.patch,STATIC,True,True,True,True,False,True,False
r1/33e599e/M9-control-b/T4-rename/events.json,c1,notes.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/33e599e/M9-control-b/T4-rename/events.json,c1,archive.txt,fs.move,STATIC,True,False,False,False,,True,False
r1/33e599e/M9-control-b/T4-rename/events.json,c1,notes.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/33e599e/M9-control-b/T4-rename/events.json,c1,archive.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/33e599e/M9-control-b/T6-world-moves/events.json,c1,config.json,fs.patch,STATIC,False,True,True,True,False,True,False
r1/33e599e/M9-control-b/T6-world-moves/events.json,c2,config.json,fs.patch,STATIC,True,True,True,True,False,True,False
r1/33e599e/M9-control-b/T7-two-files/events.json,c1,src/greet.ts,fs.write,STATIC,False,False,False,False,True,False,False
r1/33e599e/M9-control-b/T7-two-files/events.json,c2,src/greet.ts,fs.write,LATE,False,False,False,False,True,False,False
r1/33e599e/M9-control-b/T7-two-files/events.json,c1,src/index.ts,fs.write,LATE,False,False,False,False,True,True,False
r1/33e599e/M9-control-b/T7-two-files/events.json,c2,src/index.ts,fs.write,STATIC,False,False,False,False,True,True,False
r1/63ba8b9/P4-fixed/T1-create/events.json,c1,notes.txt,fs.write,STATIC,False,False,False,False,True,False,False
r1/63ba8b9/P4-fixed/T2-edit-key/events.json,c1,config.json,fs.patch,STATIC,False,True,True,True,False,True,False
r1/63ba8b9/P4-fixed/T2-edit-key/events.json,c2,config.json,fs.patch,STATIC,True,True,True,True,False,True,False
r1/63ba8b9/P4-fixed/T3-fix-typo/events.json,c1,docs/guide.md,fs.patch,STATIC,True,True,True,True,False,True,False
r1/63ba8b9/P4-fixed/T4-rename/events.json,c1,notes.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/63ba8b9/P4-fixed/T4-rename/events.json,c1,archive.txt,fs.move,STATIC,True,False,False,False,,True,False
r1/63ba8b9/P4-fixed/T4-rename/events.json,c1,notes.txt,fs.move,STATIC,True,True,True,False,,True,False
