id,orig,C,T,R,nC,nT,nR,jdir,checker_pass,cid,order,crit_key,criterionId
R2-6-split-e5-e7,established,established,established,cannot-tell,1,3,3,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e5,7,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c2
R2-4-independent-e2-e8,cannot-tell,cannot-tell,cannot-tell,cannot-tell,1,1,1,r2/33e599e/M9-judge/R2-4-independent/events.json,False,R2-4-independent-e2,8,r2/33e599e/M9-judge/R2-4-independent/events.json|R2-4-independent,c2
R2-6-split-e2-e8,not-established,not-established,not-established,established,1,1,1,r2/33e599e/M9-judge-b/R2-6-split/events.json,True,R2-6-split-e2,8,r2/33e599e/M9-judge-b/R2-6-split/events.json|R2-6-split,c2
T4-rename-e2-e17,established,cannot-tell,established,cannot-tell,2,3,0,r1/f9b27dd/P3-control-b/T4-rename/rep-3/events.json,True,T4-rename-e2,17,r1/f9b27dd/P3-control-b/T4-rename/rep-3/events.json|T4-rename,c1
R2-3-spec-e2-e20,cannot-tell,cannot-tell,established,cannot-tell,2,3,3,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json,True,R2-3-spec-e2,20,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json|R2-3-spec,c1
T4-rename-e5-e21,cannot-tell,cannot-tell,established,cannot-tell,2,6,1,r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,True,T4-rename-e5,21,r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json|T4-rename,c1
T4-rename-e5-e27,cannot-tell,cannot-tell,established,cannot-tell,1,7,1,r1/33e599e/M9-control-b/T4-rename/events.json,True,T4-rename-e5,27,r1/33e599e/M9-control-b/T4-rename/events.json|T4-rename,c1
T4-rename-e5-e33,cannot-tell,cannot-tell,established,cannot-tell,3,7,1,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,True,T4-rename-e5,33,r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json|T4-rename,c1
R2-6-split-e2-e35,cannot-tell,cannot-tell,cannot-tell,cannot-tell,0,1,1,r2/33e599e/M9-judge-b/R2-6-split/events.json,True,R2-6-split-e2,35,r2/33e599e/M9-judge-b/R2-6-split/events.json|R2-6-split,c1
R2-3-spec-e2-e35,cannot-tell,cannot-tell,established,cannot-tell,4,3,3,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json,True,R2-3-spec-e2,35,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json|R2-3-spec,c1
